ID          Chr   Input_Pos    Male_Map  Female_Map
M57          1    13.49206    13.49206    16.86508
M58          1    14.20396    14.20396    17.75495
M59          1    14.76910    14.76910    18.46138
M60          1    14.77110    14.77110    18.46387
M61          1    14.78933    14.78933    18.48666
M62          1    15.16097    15.16097    18.95121
M63          1    15.32787    15.32787    19.15984
M64          1    15.90754    15.90754    19.88443
M65          1    15.98788    15.98788    19.98485
M66          1    16.10439    16.10439    20.13049
M67          1    16.19808    16.19808    20.24760
M68          1    16.22425    16.22425    20.28031
M69          1    16.51560    16.51560    20.64450
M70          1    16.53829    16.53829    20.67286
M71          1    16.67737    16.67737    20.84671
M72          1    16.76504    16.76504    20.95630
M73          1    16.80097    16.80097    21.00121
M74          1    16.87545    16.87545    21.09431
M75          1    17.27770    17.27770    21.59712
M76          1    17.35085    17.35085    21.68856
M77          1    17.43949    17.43949    21.79936
M78          1    17.58141    17.58141    21.97676
M79          1    17.89943    17.89943    22.37429
M80          1    18.51071    18.51071    23.13839
M81          1    18.59735    18.59735    23.24669
M82          1    19.17194    19.17194    23.96493
M83          1    19.22984    19.22984    24.03730
M84          1    19.66066    19.66066    24.57583
M85          1    19.97208    19.97208    24.96510
M86          1    20.29126    20.29126    25.36407
M87          1    20.44458    20.44458    25.55572
M88          1    20.87753    20.87753    26.09691
M89          1    20.95659    20.95659    26.19574
M90          1    21.10177    21.10177    26.37721
M91          1    21.32877    21.32877    26.66096
M92          1    21.36352    21.36352    26.70440
M93          1    21.80153    21.80153    27.25191
M94          1    22.37624    22.37624    27.97030
M95          1    22.74379    22.74379    28.42974
M96          1    23.08497    23.08497    28.85621
M97          1    23.58823    23.58823    29.48529
M98          1    23.90025    23.90025    29.87531
M99          1    24.26039    24.26039    30.32549
M100         1    24.49827    24.49827    30.62284
M101         1    24.52300    24.52300    30.65375
M102         1    25.11360    25.11360    31.39200
M103         1    25.37462    25.37462    31.71827
M104         1    25.47018    25.47018    31.83772
M105         1    25.90522    25.90522    32.38152
M106         1    26.06730    26.06730    32.58413
M107         1    26.32119    26.32119    32.90149
M108         1    26.48243    26.48243    33.10304
M109         1    26.69407    26.69407    33.36759
M110         1    26.80941    26.80941    33.51176
M111         1    26.87775    26.87775    33.59719
M112         1    27.15341    27.15341    33.94176
M113         1    27.24135    27.24135    34.05169
M114         1    27.33179    27.33179    34.16474
M115         1    27.54900    27.54900    34.43625
M116         1    27.68308    27.68308    34.60385
M117         1    28.06021    28.06021    35.07526
M118         1    28.65966    28.65966    35.82457
M119         1    28.87902    28.87902    36.09878
M120         1    28.91663    28.91663    36.14579
M121         1    29.20781    29.20781    36.50976
M122         1    29.21493    29.21493    36.51866
M123         1    29.59129    29.59129    36.98911
M124         1    29.72331    29.72331    37.15414
M125         1    29.96048    29.96048    37.45060
M126         1    30.69473    30.69473    38.36841
M127         1    30.82186    30.82186    38.52733
M128         1    30.93885    30.93885    38.67356
M129         1    31.37277    31.37277    39.21596
M130         1    31.38340    31.38340    39.22925
M131         1    31.47931    31.47931    39.34914
M132         1    32.64404    32.64404    40.80505
M133         1    32.96250    32.96250    41.20313
M134         1    33.01981    33.01981    41.27476
M135         1    33.07170    33.07170    41.33962
M136         1    33.35226    33.35226    41.69033
M137         1    33.50706    33.50706    41.88383
M138         1    34.20537    34.20537    42.75671
M139         1    34.64256    34.64256    43.30320
M140         1    34.95735    34.95735    43.69669
M141         1    35.67419    35.67419    44.59274
M142         1    36.55031    36.55031    45.68789
M143         1    36.91803    36.91803    46.14754
M144         1    37.17729    37.17729    46.47161
M145         1    37.95425    37.95425    47.44281
M146         1    38.18413    38.18413    47.73016
M147         1    38.33527    38.33527    47.91909
M148         1    38.62783    38.62783    48.28479
M149         1    38.82045    38.82045    48.52556
M150         1    39.44911    39.44911    49.31139
M151         1    40.75040    40.75040    50.93800
M152         1    40.83347    40.83347    51.04184
M153         1    40.90080    40.90080    51.12600
M154         1    41.01492    41.01492    51.26865
M155         1    41.78754    41.78754    52.23443
M156         1    41.85930    41.85930    52.32413
M157         1    41.97444    41.97444    52.46805
M158         1    42.15706    42.15706    52.69633
M159         1    42.73492    42.73492    53.41865
M160         1    42.96443    42.96443    53.70554
M161         1    42.98947    42.98947    53.73684
M162         1    43.94395    43.94395    54.92994
M163         1    44.07363    44.07363    55.09204
M164         1    44.50211    44.50211    55.62764
M165         1    44.55823    44.55823    55.69779
M166         1    44.67505    44.67505    55.84381
M167         1    44.72908    44.72908    55.91135
M168         1    45.32117    45.32117    56.65146
M169         1    45.60972    45.60972    57.01215
M170         1    46.12858    46.12858    57.66073
M171         1    46.13611    46.13611    57.67014
M172         1    46.71706    46.71706    58.39633
M173         1    47.48421    47.48421    59.35526
M174         1    48.05078    48.05078    60.06348
M175         1    48.56648    48.56648    60.70810
M176         1    48.65644    48.65644    60.82055
M177         1    48.72438    48.72438    60.90548
M178         1    49.21076    49.21076    61.51345
M179         1    49.45984    49.45984    61.82480
M180         1    50.25756    50.25756    62.82195
M181         1    50.68223    50.68223    63.35279
M182         1    51.33420    51.33420    64.16775
M183         1    51.65061    51.65061    64.56326
M184         1    51.78999    51.78999    64.73749
M185         1    52.67425    52.67425    65.84281
M186         1    52.84379    52.84379    66.05474
M187         1    53.00236    53.00236    66.25295
M188         1    53.18220    53.18220    66.47775
M189         1    53.27311    53.27311    66.59139
M190         1    53.54976    53.54976    66.93720
M191         1    53.74898    53.74898    67.18623
M192         1    54.60664    54.60664    68.25830
M193         1    54.63206    54.63206    68.29008
M194         1    54.63329    54.63329    68.29161
M195         1    55.09118    55.09118    68.86397
M196         1    55.35318    55.35318    69.19147
M197         1    55.70836    55.70836    69.63545
M198         1    55.97494    55.97494    69.96868
M199         1    56.08497    56.08497    70.10621
M200         1    56.96416    56.96416    71.20520
M201         1    57.04797    57.04797    71.30996
M202         1    57.30751    57.30751    71.63439
M203         1    57.32274    57.32274    71.65342
M204         1    57.86311    57.86311    72.32889
M205         1    58.16132    58.16132    72.70165
M206         1    59.16094    59.16094    73.95118
M207         1    59.58154    59.58154    74.47693
M208         1    59.59476    59.59476    74.49345
M209         1    59.80699    59.80699    74.75874
M210         1    59.82121    59.82121    74.77651
M211         1    59.96803    59.96803    74.96004
M212         1    59.99019    59.99019    74.98774
M213         1    60.48597    60.48597    75.60746
M214         1    61.57897    61.57897    76.97371
M215         1    61.88438    61.88438    77.35547
M216         1    61.91198    61.91198    77.38997
M217         1    62.15203    62.15203    77.69004
M218         1    62.74607    62.74607    78.43259
M219         1    63.00135    63.00135    78.75169
M220         1    63.52535    63.52535    79.40669
M221         1    63.77168    63.77168    79.71460
M222         1    63.81541    63.81541    79.76926
M223         1    63.87342    63.87342    79.84177
M224         1    64.08193    64.08193    80.10241
M225         1    64.17069    64.17069    80.21336
M226         1    64.36470    64.36470    80.45587
M227         1    64.61219    64.61219    80.76524
M228         1    64.64140    64.64140    80.80175
M229         1    65.39124    65.39124    81.73905
M230         1    65.67077    65.67077    82.08846
M231         1    65.68267    65.68267    82.10334
M232         1    65.75584    65.75584    82.19480
M233         1    65.76505    65.76505    82.20631
M234         1    66.11473    66.11473    82.64341
M235         1    66.30408    66.30408    82.88010
M236         1    66.48479    66.48479    83.10599
M237         1    66.48991    66.48991    83.11239
M238         1    67.01260    67.01260    83.76575
M239         1    67.27072    67.27072    84.08840
M240         1    67.34450    67.34450    84.18062
M241         1    68.07779    68.07779    85.09724
M242         1    68.52118    68.52118    85.65148
M243         1    68.57589    68.57589    85.71986
M244         1    68.93759    68.93759    86.17199
M245         1    69.52993    69.52993    86.91241
M246         1    70.46915    70.46915    88.08644
M247         1    70.93556    70.93556    88.66945
M248         1    70.96054    70.96054    88.70068
M249         1    72.15504    72.15504    90.19380
M250         1    72.49450    72.49450    90.61813
M251         1    72.95736    72.95736    91.19670
M252         1    73.06523    73.06523    91.33154
M253         1    74.06718    74.06718    92.58398
M254         1    74.16377    74.16377    92.70471
M255         1    74.72100    74.72100    93.40125
M256         1    74.72170    74.72170    93.40212
M257         1    75.49187    75.49187    94.36484
M258         1    75.68277    75.68277    94.60346
M259         1    76.19475    76.19475    95.24344
M260         1    76.22479    76.22479    95.28099
M261         1    76.28132    76.28132    95.35165
M262         1    76.56986    76.56986    95.71233
M263         1    76.85570    76.85570    96.06963
M264         1    76.88416    76.88416    96.10520
M265         1    77.48573    77.48573    96.85716
M266         1    77.61662    77.61662    97.02078
M267         1    77.66792    77.66792    97.08490
M268         1    78.05408    78.05408    97.56760
M269         1    78.73770    78.73770    98.42213
M270         1    79.02330    79.02330    98.77913
M271         1    79.17901    79.17901    98.97376
M272         1    79.41935    79.41935    99.27419
M273         1    80.00210    80.00210   100.00262
M274         1    80.36333    80.36333   100.45416
M275         1    81.15609    81.15609   101.44511
M276         1    81.53391    81.53391   101.91739
M277         1    81.65175    81.65175   102.06469
M278         1    81.94758    81.94758   102.43448
M279         1    82.10744    82.10744   102.63430
M280         1    82.36302    82.36302   102.95378
M281         1    82.75310    82.75310   103.44138
M282         1    82.82739    82.82739   103.53424
M283         1    82.90877    82.90877   103.63596
M284         1    84.44626    84.44626   105.55783
M285         1    84.98325    84.98325   106.22906
M286         1    85.27585    85.27585   106.59481
M287         1    85.31542    85.31542   106.64428
M288         1    85.83189    85.83189   107.28986
M289         1    86.44689    86.44689   108.05861
M290         1    86.85535    86.85535   108.56919
M291         1    86.93312    86.93312   108.66640
M292         1    87.07429    87.07429   108.84286
M293         1    87.18019    87.18019   108.97524
M294         1    87.82069    87.82069   109.77586
M295         1    88.30113    88.30113   110.37641
M296         1    88.94817    88.94817   111.18521
M297         1    89.05082    89.05082   111.31352
M298         1    89.34493    89.34493   111.68116
M299         1    90.00176    90.00176   112.50220
M300         1    90.39332    90.39332   112.99165
M301         1    90.42512    90.42512   113.03140
M302         1    90.83666    90.83666   113.54583
M303         1    90.88646    90.88646   113.60807
M304         1    91.14232    91.14232   113.92790
M305         1    91.41995    91.41995   114.27494
M306         1    92.19998    92.19998   115.24997
M307         1    92.40332    92.40332   115.50415
M308         1    92.56561    92.56561   115.70701
M309         1    92.62179    92.62179   115.77724
M310         1    92.66000    92.66000   115.82500
M311         1    92.79426    92.79426   115.99283
M312         1    92.83823    92.83823   116.04779
M313         1    92.88860    92.88860   116.11075
M314         1    93.01951    93.01951   116.27439
M315         1    93.68934    93.68934   117.11168
M316         1    93.97099    93.97099   117.46374
M317         1    94.09695    94.09695   117.62119
M318         1    94.42933    94.42933   118.03666
M319         1    94.83060    94.83060   118.53825
M320         1    94.83281    94.83281   118.54101
M321         1    95.29265    95.29265   119.11581
M322         1    95.50196    95.50196   119.37745
M323         1    95.54464    95.54464   119.43080
M324         1    95.69840    95.69840   119.62300
M325         1    95.76642    95.76642   119.70802
M326         1    95.79265    95.79265   119.74081
M327         1    96.10211    96.10211   120.12764
M328         1    96.22907    96.22907   120.28634
M329         1    96.44556    96.44556   120.55695
M330         1    97.30517    97.30517   121.63146
M331         1    98.23081    98.23081   122.78851
M332         1    98.31740    98.31740   122.89675
M333         1    99.87259    99.87259   124.84074
M334         2     0.09533     0.09533     0.11916
M335         2     0.40161     0.40161     0.50201
M336         2     0.57977     0.57977     0.72471
M337         2     0.79007     0.79007     0.98759
M338         2     1.64627     1.64627     2.05784
M339         2     1.74561     1.74561     2.18201
M340         2     2.02294     2.02294     2.52868
M341         2     2.24703     2.24703     2.80879
M342         2     2.41371     2.41371     3.01714
M343         2     2.48575     2.48575     3.10719
M344         2     3.01188     3.01188     3.76485
M345         2     3.60545     3.60545     4.50681
M346         2     3.77745     3.77745     4.72181
M347         2     4.03377     4.03377     5.04221
M348         2     4.17511     4.17511     5.21889
M349         2     4.26905     4.26905     5.33631
M350         2     4.29139     4.29139     5.36424
M351         2     5.00681     5.00681     6.25851
M352         2     5.09782     5.09782     6.37227
M353         2     5.92507     5.92507     7.40634
M354         2     6.02387     6.02387     7.52984
M355         2     6.17828     6.17828     7.72285
M356         2     7.82616     7.82616     9.78270
M357         2     8.31485     8.31485    10.39356
M358         2     8.62495     8.62495    10.78119
M359         2     9.57383     9.57383    11.96729
M360         2     9.80603     9.80603    12.25754
M361         2    10.13135    10.13135    12.66419
M362         2    10.29616    10.29616    12.87020
M363         2    11.18178    11.18178    13.97723
M364         2    11.78336    11.78336    14.72920
M365         2    11.83791    11.83791    14.79739
M366         2    12.63153    12.63153    15.78941
M367         2    13.00825    13.00825    16.26031
M368         2    13.15610    13.15610    16.44513
M369         2    13.26339    13.26339    16.57924
M370         2    13.34001    13.34001    16.67501
M371         2    13.36856    13.36856    16.71070
M372         2    13.86864    13.86864    17.33580
M373         2    14.26942    14.26942    17.83677
M374         2    14.79780    14.79780    18.49725
M375         2    15.45309    15.45309    19.31636
M376         2    16.02858    16.02858    20.03572
M377         2    16.22043    16.22043    20.27554
M378         2    16.23729    16.23729    20.29661
M379         2    16.36033    16.36033    20.45041
M380         2    16.48054    16.48054    20.60068
M381         2    16.88667    16.88667    21.10834
M382         2    17.00174    17.00174    21.25217
M383         2    17.20648    17.20648    21.50810
M384         2    17.49879    17.49879    21.87349
M385         2    17.59673    17.59673    21.99591
M386         2    17.75921    17.75921    22.19901
M387         2    17.98763    17.98763    22.48454
M388         2    18.16546    18.16546    22.70682
M389         2    18.77971    18.77971    23.47464
M390         2    18.91998    18.91998    23.64997
M391         2    19.01825    19.01825    23.77281
M392         2    19.62791    19.62791    24.53489
M393         2    19.72104    19.72104    24.65130
M394         2    20.08480    20.08480    25.10600
M395         2    21.10033    21.10033    26.37541
M396         2    21.60368    21.60368    27.00460
M397         2    22.32522    22.32522    27.90652
M398         2    22.79501    22.79501    28.49376
M399         2    22.95267    22.95267    28.69084
M400         2    23.68680    23.68680    29.60850
M401         2    24.72813    24.72813    30.91016
M402         2    25.13339    25.13339    31.41674
M403         2    25.31381    25.31381    31.64226
M404         2    25.34512    25.34512    31.68140
M405         2    25.52208    25.52208    31.90260
M406         2    26.10958    26.10958    32.63697
M407         2    26.18191    26.18191    32.72739
M408         2    27.26472    27.26472    34.08090
M409         2    27.28064    27.28064    34.10080
M410         2    27.96607    27.96607    34.95759
M411         2    28.79254    28.79254    35.99067
M412         2    28.80518    28.80518    36.00648
M413         2    29.13683    29.13683    36.42104
M414         2    29.30019    29.30019    36.62524
M415         2    29.86027    29.86027    37.32534
M416         2    30.58718    30.58718    38.23398
M417         2    30.68184    30.68184    38.35230
M418         2    30.73746    30.73746    38.42182
M419         2    30.82932    30.82932    38.53665
M420         2    31.31918    31.31918    39.14898
M421         2    31.51244    31.51244    39.39055
M422         2    31.98408    31.98408    39.98010
M423         2    32.38970    32.38970    40.48713
M424         2    33.42007    33.42007    41.77509
M425         2    33.55392    33.55392    41.94240
M426         2    33.58561    33.58561    41.98201
M427         2    33.71541    33.71541    42.14426
M428         2    33.74166    33.74166    42.17708
M429         2    33.91191    33.91191    42.38989
M430         2    34.18793    34.18793    42.73491
M431         2    34.36699    34.36699    42.95874
M432         2    34.46125    34.46125    43.07656
M433         2    34.75802    34.75802    43.44752
M434         2    35.12583    35.12583    43.90729
M435         2    35.43439    35.43439    44.29299
M436         2    35.84072    35.84072    44.80090
M437         2    36.58886    36.58886    45.73608
M438         2    36.95622    36.95622    46.19528
M439         2    37.16096    37.16096    46.45120
M440         2    37.51252    37.51252    46.89065
M441         2    37.82842    37.82842    47.28552
M442         2    38.35547    38.35547    47.94434
M443         2    38.39019    38.39019    47.98774
M444         2    38.54005    38.54005    48.17506
M445         2    38.77422    38.77422    48.46778
M446         2    38.85536    38.85536    48.56920
M447         2    39.23199    39.23199    49.03999
M448         2    39.53974    39.53974    49.42468
M449         2    40.29548    40.29548    50.36935
M450         2    40.82517    40.82517    51.03146
M451         2    40.87514    40.87514    51.09392
M452         2    41.05396    41.05396    51.31745
M453         2    41.59933    41.59933    51.99916
M454         2    41.69286    41.69286    52.11608
M455         2    41.98744    41.98744    52.48430
M456         2    42.00410    42.00410    52.50512
M457         2    42.50498    42.50498    53.13123
M458         2    42.62364    42.62364    53.27955
M459         2    42.86411    42.86411    53.58014
M460         2    42.98212    42.98212    53.72765
M461         2    43.10230    43.10230    53.87788
M462         2    43.27386    43.27386    54.09233
M463         2    43.38630    43.38630    54.23288
M464         2    44.08011    44.08011    55.10014
M465         2    44.19533    44.19533    55.24416
M466         2    44.31325    44.31325    55.39156
M467         2    44.66431    44.66431    55.83039
M468         2    44.69486    44.69486    55.86858
M469         2    44.76938    44.76938    55.96173
M470         2    45.83700    45.83700    57.29625
M471         2    46.05520    46.05520    57.56900
M472         2    46.13196    46.13196    57.66495
M473         2    46.49512    46.49512    58.11890
M474         2    47.04559    47.04559    58.80699
M475         2    47.52423    47.52423    59.40529
M476         2    48.68477    48.68477    60.85596
M477         2    48.86595    48.86595    61.08244
M478         2    49.29245    49.29245    61.61556
M479         2    49.39972    49.39972    61.74965
M480         2    49.48024    49.48024    61.85030
M481         2    49.53323    49.53323    61.91654
M482         2    49.63912    49.63912    62.04890
M483         2    50.05220    50.05220    62.56525
M484         2    50.23369    50.23369    62.79211
M485         2    50.73863    50.73863    63.42329
M486         2    50.86844    50.86844    63.58555
M487         2    51.08745    51.08745    63.85931
M488         2    51.18161    51.18161    63.97701
M489         2    51.30367    51.30367    64.12959
M490         2    51.75218    51.75218    64.69022
M491         2    51.79488    51.79488    64.74360
M492         2    51.82798    51.82798    64.78498
M493         2    51.95717    51.95717    64.94646
M494         2    52.16641    52.16641    65.20801
M495         2    52.16858    52.16858    65.21073
M496         2    52.49979    52.49979    65.62474
M497         2    52.72533    52.72533    65.90666
M498         2    53.68966    53.68966    67.11208
M499         2    53.69124    53.69124    67.11405
M500         2    53.70776    53.70776    67.13470
M501         2    53.84170    53.84170    67.30213
M502         2    53.94486    53.94486    67.43108
M503         2    53.94674    53.94674    67.43342
M504         2    53.99820    53.99820    67.49775
M505         2    54.05216    54.05216    67.56520
M506         2    54.42603    54.42603    68.03254
M507         2    55.20052    55.20052    69.00065
M508         2    55.31354    55.31354    69.14193
M509         2    55.31660    55.31660    69.14575
M510         2    55.74381    55.74381    69.67976
M511         2    55.88878    55.88878    69.86098
M512         2    55.88885    55.88885    69.86106
M513         2    55.92173    55.92173    69.90216
M514         2    55.93528    55.93528    69.91910
M515         2    56.31272    56.31272    70.39090
M516         2    56.35811    56.35811    70.44764
M517         2    57.67006    57.67006    72.08758
M518         2    57.97738    57.97738    72.47173
M519         2    57.97904    57.97904    72.47380
M520         2    59.20665    59.20665    74.00831
M521         2    59.27805    59.27805    74.09756
M522         2    59.62440    59.62440    74.53050
M523         2    59.67224    59.67224    74.59030
M524         2    59.98515    59.98515    74.98144
M525         2    60.86609    60.86609    76.08261
M526         2    60.90276    60.90276    76.12845
M527         2    60.97620    60.97620    76.22025
M528         2    61.01927    61.01927    76.27409
M529         2    61.68323    61.68323    77.10404
M530         2    62.27609    62.27609    77.84511
M531         2    62.27704    62.27704    77.84630
M532         2    62.36134    62.36134    77.95168
M533         2    62.42440    62.42440    78.03050
M534         2    62.51158    62.51158    78.13948
M535         2    62.56679    62.56679    78.20849
M536         2    62.86260    62.86260    78.57825
M537         2    63.10643    63.10643    78.88304
M538         2    64.19887    64.19887    80.24859
M539         2    65.30832    65.30832    81.63540
M540         2    65.51400    65.51400    81.89250
M541         2    65.65019    65.65019    82.06274
M542         2    65.85870    65.85870    82.32337
M543         2    66.49764    66.49764    83.12205
M544         2    66.68699    66.68699    83.35874
M545         2    66.92197    66.92197    83.65246
M546         2    66.95102    66.95102    83.68877
M547         2    67.16023    67.16023    83.95029
M548         2    67.58363    67.58363    84.47954
M549         2    67.75349    67.75349    84.69186
M550         2    67.79011    67.79011    84.73764
M551         2    68.27091    68.27091    85.33864
M552         2    68.44844    68.44844    85.56055
M553         2    68.70399    68.70399    85.87999
M554         2    69.31467    69.31467    86.64334
M555         2    69.46362    69.46362    86.82953
M556         2    69.94865    69.94865    87.43581
M557         2    70.03867    70.03867    87.54834
M558         2    70.27640    70.27640    87.84550
M559         2    70.57808    70.57808    88.22260
M560         2    70.61176    70.61176    88.26470
M561         2    70.73331    70.73331    88.41664
M562         2    71.12629    71.12629    88.90786
M563         2    71.82859    71.82859    89.78574
M564         2    71.91406    71.91406    89.89258
M565         2    72.00969    72.00969    90.01211
M566         2    72.06054    72.06054    90.07568
M567         2    72.25652    72.25652    90.32065
M568         2    72.47072    72.47072    90.58840
M569         2    72.97318    72.97318    91.21648
M570         2    73.03267    73.03267    91.29084
M571         2    73.37842    73.37842    91.72303
M572         2    74.90880    74.90880    93.63600
M573         2    75.10246    75.10246    93.87808
M574         2    75.14253    75.14253    93.92816
M575         2    75.21260    75.21260    94.01575
M576         2    75.24838    75.24838    94.06047
M577         2    75.35972    75.35972    94.19965
M578         2    76.89289    76.89289    96.11611
M579         2    77.25503    77.25503    96.56879
M580         2    77.51744    77.51744    96.89680
M581         2    77.73809    77.73809    97.17261
M582         2    77.91212    77.91212    97.39015
M583         2    78.00930    78.00930    97.51162
M584         2    78.30062    78.30062    97.87578
M585         2    78.44119    78.44119    98.05149
M586         2    78.65501    78.65501    98.31876
M587         2    78.84010    78.84010    98.55013
M588         2    79.36648    79.36648    99.20810
M589         2    79.51885    79.51885    99.39856
M590         2    79.65519    79.65519    99.56899
M591         2    79.65627    79.65627    99.57034
M592         2    80.15716    80.15716   100.19645
M593         2    80.19719    80.19719   100.24649
M594         2    80.31338    80.31338   100.39173
M595         2    80.68158    80.68158   100.85197
M596         2    80.80789    80.80789   101.00986
M597         2    81.13936    81.13936   101.42420
M598         2    81.72385    81.72385   102.15481
M599         2    81.94774    81.94774   102.43468
M600         2    82.47650    82.47650   103.09562
M601         2    82.99940    82.99940   103.74925
M602         2    83.29350    83.29350   104.11688
M603         2    84.29279    84.29279   105.36599
M604         2    84.36001    84.36001   105.45001
M605         2    84.36814    84.36814   105.46017
M606         2    84.70561    84.70561   105.88201
M607         2    85.87930    85.87930   107.34913
M608         2    85.97335    85.97335   107.46669
M609         2    85.99039    85.99039   107.48799
M610         2    86.57659    86.57659   108.22074
M611         2    86.98340    86.98340   108.72925
M612         2    87.11129    87.11129   108.88911
M613         2    87.46841    87.46841   109.33551
M614         2    87.53210    87.53210   109.41513
M615         2    88.10876    88.10876   110.13595
M616         2    88.32578    88.32578   110.40723
M617         2    88.91889    88.91889   111.14861
M618         2    89.07293    89.07293   111.34116
M619         2    89.27524    89.27524   111.59405
M620         2    89.54759    89.54759   111.93449
M621         2    89.56708    89.56708   111.95885
M622         2    89.85463    89.85463   112.31829
M623         2    89.94544    89.94544   112.43180
M624         2    89.98997    89.98997   112.48746
M625         2    90.09242    90.09242   112.61553
M626         2    90.45353    90.45353   113.06691
M627         2    90.52610    90.52610   113.15762
M628         2    90.56743    90.56743   113.20929
M629         2    90.72920    90.72920   113.41150
M630         2    90.78165    90.78165   113.47706
M631         2    91.36125    91.36125   114.20156
M632         2    91.97537    91.97537   114.96921
M633         2    92.25050    92.25050   115.31312
M634         2    92.30739    92.30739   115.38424
M635         2    92.33353    92.33353   115.41691
M636         2    93.08615    93.08615   116.35769
M637         2    93.32501    93.32501   116.65626
M638         2    93.55072    93.55072   116.93840
M639         2    93.78293    93.78293   117.22866
M640         2    94.12783    94.12783   117.65979
M641         2    94.42526    94.42526   118.03158
M642         2    94.69747    94.69747   118.37184
M643         2    94.88465    94.88465   118.60581
M644         2    95.49753    95.49753   119.37191
M645         2    96.21012    96.21012   120.26265
M646         2    97.00000    97.00000   121.25000
M647         2    97.14459    97.14459   121.43074
M648         2    97.20608    97.20608   121.50760
M649         2    97.27594    97.27594   121.59493
M650         2    97.47195    97.47195   121.83994
M651         2    97.52407    97.52407   121.90509
M652         2    97.59283    97.59283   121.99104
M653         2    97.75121    97.75121   122.18901
M654         2    97.85913    97.85913   122.32391
M655         2    98.04287    98.04287   122.55359
M656         2    98.30850    98.30850   122.88563
M657         2    98.47848    98.47848   123.09810
M658         2    98.51850    98.51850   123.14813
M659         2    98.78413    98.78413   123.48016
M660         2    98.88378    98.88378   123.60473
M661         2    99.04484    99.04484   123.80605
M662         2    99.14354    99.14354   123.92943
M663         2    99.39981    99.39981   124.24976
M664         2    99.72736    99.72736   124.65920
M665         2    99.79067    99.79067   124.73834
M666         2    99.84627    99.84627   124.80784
M667         3     0.19001     0.19001     0.23751
M668         3     0.30262     0.30262     0.37828
M669         3     0.31321     0.31321     0.39151
M670         3     0.44992     0.44992     0.56240
M671         3     1.49818     1.49818     1.87272
M672         3     1.76742     1.76742     2.20927
M673         3     2.61341     2.61341     3.26676
M674         3     2.93114     2.93114     3.66392
M675         3     3.00116     3.00116     3.75145
M676         3     3.23414     3.23414     4.04268
M677         3     3.66297     3.66297     4.57871
M678         3     3.72253     3.72253     4.65316
M679         3     3.83203     3.83203     4.79004
M680         3     4.22340     4.22340     5.27925
M681         3     4.50374     4.50374     5.62967
M682         3     5.41580     5.41580     6.76975
M683         3     5.66065     5.66065     7.07581
M684         3     5.67069     5.67069     7.08836
M685         3     6.59920     6.59920     8.24900
M686         3     6.70121     6.70121     8.37651
M687         3     7.09697     7.09697     8.87121
M688         3     7.56216     7.56216     9.45270
M689         3     7.73126     7.73126     9.66408
M690         3     7.99415     7.99415     9.99269
M691         3     8.02869     8.02869    10.03586
M692         3     8.26372     8.26372    10.32965
M693         3     8.66851     8.66851    10.83564
M694         3     9.25446     9.25446    11.56808
M695         3     9.57688     9.57688    11.97110
M696         3     9.59396     9.59396    11.99245
M697         3     9.74081     9.74081    12.17601
