ID          Chr    Position
Q335        14    95.55727
Q336        14    98.68834
Q337        15     1.19088
Q338        15     4.23362
Q339        15     4.24899
Q340        15     4.29008
Q341        15     8.06810
Q342        15    16.06659
Q343        15    23.14232
Q344        15    24.54897
Q345        15    31.12669
Q346        15    32.28298
Q347        15    34.67297
Q348        15    36.02674
Q349        15    46.00412
Q350        15    47.65278
Q351        15    49.86277
Q352        15    53.79597
Q353        15    54.09820
Q354        15    56.43249
Q355        15    56.62334
Q356        15    58.05278
Q357        15    60.73420
Q358        15    69.34869
Q359        15    70.39415
Q360        15    71.21641
Q361        15    73.97573
Q362        15    76.16980
Q363        15    79.80447
Q364        15    82.82428
Q365        15    85.54128
Q366        15    92.29324
Q367        16     1.84032
Q368        16     7.90962
Q369        16    12.01093
Q370        16    15.20345
Q371        16    22.15371
Q372        16    28.98760
Q373        16    30.07343
Q374        16    37.05524
Q375        16    41.57827
Q376        16    48.94556
Q377        16    51.02858
Q378        16    51.61821
Q379        16    51.93588
Q380        16    57.95976
Q381        16    63.68128
Q382        16    66.69715
Q383        16    75.92223
Q384        16    76.96890
Q385        16    80.39701
Q386        16    81.49505
Q387        16    85.20400
Q388        16    85.50963
Q389        16    89.39499
Q390        16    90.44710
Q391        16    92.69121
Q392        16    94.82261
Q393        16    99.84640
Q394        17     3.08522
Q395        17     6.86015
Q396        17    12.00423
Q397        17    13.54223
Q398        17    16.03260
Q399        17    20.92819
Q400        17    21.57343
Q401        17    26.93566
Q402        17    31.97378
Q403        17    36.33614
Q404        17    38.08190
Q405        17    42.11896
Q406        17    47.11965
Q407        17    49.43124
Q408        17    49.56452
Q409        17    52.46062
Q410        17    54.61186
Q411        17    58.38063
Q412        17    59.55350
Q413        17    60.62116
Q414        17    62.03060
Q415        17    68.17909
Q416        17    70.28333
Q417        17    80.44560
Q418        17    81.15756
Q419        17    82.25794
Q420        17    87.24965
Q421        17    93.07828
Q422        17    98.73208
Q423        18    14.55987
Q424        18    21.80391
Q425        18    27.03340
Q426        18    28.98937
Q427        18    30.19678
Q428        18    33.64804
Q429        18    33.71511
Q430        18    38.84792
Q431        18    41.04696
Q432        18    43.70240
Q433        18    53.41234
Q434        18    60.02555
Q435        18    64.22155
Q436        18    66.60653
Q437        18    72.95127
Q438        18    75.13165
Q439        18    78.25269
Q440        18    84.00087
Q441        18    85.88765
Q442        18    86.08883
Q443        18    87.38397
Q444        18    91.04796
Q445        18    91.06222
Q446        18    93.37348
Q447        18    96.80885
Q448        19     5.71127
Q449        19     7.07686
Q450        19     8.41870
Q451        19     8.99573
Q452        19    20.15712
Q453        19    21.72799
Q454        19    25.88451
Q455        19    25.89493
Q456        19    29.58351
Q457        19    34.29795
Q458        19    39.09369
Q459        19    51.70240
Q460        19    52.04588
Q461        19    54.90847
Q462        19    61.81217
Q463        19    71.94964
Q464        19    74.06699
Q465        19    74.72890
Q466        19    76.94387
Q467        19    88.84853
Q468        19    94.54408
Q469        19    95.37399
Q470        19    97.38796
Q471        19    97.78549
Q472        19    99.15841
Q473        20     5.65054
Q474        20     8.49951
Q475        20    13.37069
Q476        20    17.39696
Q477        20    24.07444
Q478        20    26.70351
Q479        20    26.98856
Q480        20    27.39956
Q481        20    31.52731
Q482        20    35.79453
Q483        20    39.33030
Q484        20    47.46650
Q485        20    48.35610
Q486        20    56.62243
Q487        20    57.97632
Q488        20    60.91364
Q489        20    61.71543
Q490        20    61.91952
Q491        20    63.28908
Q492        20    71.22896
Q493        20    73.13508
Q494        20    76.25714
Q495        20    78.07068
Q496        20    84.35479
Q497        20    89.57918
Q498        20    94.88612
Q499        20    99.57089
Q500        21     1.72106
Q501        21    15.70576
Q502        21    19.87420
Q503        21    20.51452
Q504        21    23.78484
Q505        21    26.00774
Q506        21    26.67818
Q507        21    26.74305
Q508        21    26.92189
Q509        21    28.75404
Q510        21    34.16670
Q511        21    53.29191
Q512        21    57.12468
Q513        21    60.49383
Q514        21    66.11723
Q515        21    68.42628
Q516        21    71.33641
Q517        21    79.49988
Q518        21    87.61114
Q519        21    91.69828
Q520        22     1.64685
Q521        22     1.69469
Q522        22     2.51201
Q523        22     2.98070
Q524        22     4.58729
Q525        22     7.63489
Q526        22     9.40202
Q527        22    15.37431
Q528        22    18.89349
Q529        22    24.10372
Q530        22    25.10858
Q531        22    34.26925
Q532        22    34.93423
Q533        22    41.20278
Q534        22    59.07701
Q535        22    60.49628
Q536        22    62.70282
Q537        22    79.51030
Q538        22    79.52294
Q539        22    81.45520
Q540        22    98.56966
Q541        23     2.46808
Q542        23     3.38927
Q543        23     3.40224
Q544        23    15.42011
Q545        23    24.50867
Q546        23    29.81580
Q547        23    32.71006
Q548        23    33.73965
Q549        23    36.14533
Q550        23    38.18400
Q551        23    49.08305
Q552        23    51.71398
Q553        23    59.14184
Q554        23    61.56127
Q555        23    61.87393
Q556        23    65.75173
Q557        23    65.90441
Q558        23    66.00833
Q559        23    68.25838
Q560        23    74.29223
Q561        23    75.04502
Q562        23    75.16893
Q563        23    87.81718
Q564        23    90.31925
Q565        23    97.47264
Q566        24     0.69466
Q567        24     2.61707
Q568        24     5.39226
Q569        24     5.54971
Q570        24     5.78551
Q571        24     6.00430
Q572        24     6.67459
Q573        24    11.42446
Q574        24    12.06137
Q575        24    14.98853
Q576        24    16.49037
Q577        24    18.93244
Q578        24    27.65963
Q579        24    28.80445
Q580        24    29.01895
Q581        24    36.34075
Q582        24    44.60470
Q583        24    45.16330
Q584        24    46.43674
Q585        24    53.27552
Q586        24    59.22537
Q587        24    73.71182
Q588        24    80.85611
Q589        24    86.32458
Q590        24    87.19211
Q591        24    88.80098
Q592        24    92.76792
Q593        24    93.01407
Q594        24    95.34660
Q595        24    99.14695
Q596        25     1.46200
Q597        25     5.89697
Q598        25     9.92628
Q599        25    10.98269
Q600        25    23.96107
Q601        25    26.45181
Q602        25    27.68235
Q603        25    27.73721
Q604        25    33.11176
Q605        25    37.26041
Q606        25    39.31238
Q607        25    40.45661
Q608        25    44.63385
Q609        25    46.97752
Q610        25    47.93216
Q611        25    56.29039
Q612        25    58.34872
Q613        25    66.03312
Q614        25    67.35287
Q615        25    68.70237
Q616        25    71.74338
Q617        25    79.59898
Q618        25    79.87458
Q619        25    84.14358
Q620        25    87.91556
Q621        25    87.99202
Q622        25    93.21476
Q623        25    94.69537
Q624        25    99.05311
Q625        26     4.55651
Q626        26     5.72141
Q627        26     8.74984
Q628        26    10.80855
Q629        26    14.10264
Q630        26    22.80278
Q631        26    23.53967
Q632        26    25.53266
Q633        26    28.40547
Q634        26    29.68869
Q635        26    31.12088
Q636        26    32.59398
Q637        26    37.43088
Q638        26    42.39117
Q639        26    43.54144
Q640        26    52.03660
Q641        26    57.98423
Q642        26    61.94560
Q643        26    62.09444
Q644        26    73.87546
Q645        26    80.13472
Q646        26    85.84068
Q647        26    85.93986
Q648        26    89.29155
Q649        26    95.28231
Q650        27     1.06441
Q651        27     1.57688
Q652        27     3.12813
Q653        27     3.62825
Q654        27     7.33830
Q655        27    13.42773
Q656        27    16.71710
Q657        27    21.45966
Q658        27    23.61516
Q659        27    30.17547
Q660        27    38.74617
Q661        27    42.81233
Q662        27    52.78365
Q663        27    54.25603
Q664        27    56.36675
Q665        27    61.85765
Q666        27    64.78852
Q667        27    66.70560
Q668        27    66.75714
Q669        27    69.44513
Q670        27    69.61142
Q671        27    75.70178
Q672        27    79.40586
Q673        27    83.91436
Q674        27    89.44964
Q675        27    91.32707
Q676        28     3.73477
Q677        28    22.26353
Q678        28    27.58515
Q679        28    27.86407
Q680        28    29.31990
Q681        28    37.69484
Q682        28    42.75335
Q683        28    49.33237
Q684        28    49.75345
Q685        28    50.86920
Q686        28    54.99865
Q687        28    55.04628
Q688        28    58.66602
Q689        28    61.85218
Q690        28    62.24752
Q691        28    65.37300
Q692        28    66.14867
Q693        28    74.74218
Q694        28    77.39802
Q695        28    79.84068
Q696        28    86.94361
Q697        28    91.75038
Q698        28    92.61627
Q699        28    96.60905
Q700        29     1.58456
Q701        29     2.28270
Q702        29     5.47519
Q703        29     6.80907
Q704        29    12.47493
Q705        29    21.45184
Q706        29    25.95977
Q707        29    31.47831
Q708        29    34.72351
Q709        29    34.79951
Q710        29    43.04845
Q711        29    45.75119
Q712        29    47.59783
Q713        29    54.99459
Q714        29    58.56041
Q715        29    58.58715
Q716        29    61.44816
Q717        29    62.14071
Q718        29    68.06104
Q719        29    70.80396
Q720        29    72.58916
Q721        29    75.84764
Q722        29    80.57589
Q723        29    84.57366
Q724        29    94.82185
Q725        29    97.44858
Q726        30     5.24487
Q727        30     8.90386
Q728        30     9.78830
Q729        30    11.46183
Q730        30    14.06619
Q731        30    17.41212
Q732        30    18.33533
Q733        30    23.45641
Q734        30    25.33740
Q735        30    29.52287
Q736        30    37.90651
Q737        30    39.28251
Q738        30    41.21998
Q739        30    47.11326
Q740        30    49.71010
Q741        30    52.60404
Q742        30    61.34667
Q743        30    61.72279
Q744        30    69.07907
Q745        30    86.27573
Q746        30    87.10653
Q747        30    88.68620
Q748        30    91.78852
Q749        30    98.89219
Q750        30    99.97545
